,Value
lastFiscalYearEnd,1703980800
nextFiscalYearEnd,1735603200
mostRecentQuarter,1727654400
earningsQuarterlyGrowth,0.169
netIncomeToCommon,12743000064
trailingEps,3.65
forwardEps,3.24
lastSplitFactor,3:1
lastSplitDate,1661385600
enterpriseToRevenue,13.355
enterpriseToEbitda,97.965
52WeekChange,0.70696616
SandP52WeekChange,0.24749029
exchange,NMS
quoteType,EQUITY
symbol,TSLA
underlyingSymbol,TSLA
shortName,"Tesla, Inc."
longName,"Tesla, Inc."
firstTradeDateEpochUtc,1277818200
timeZoneFullName,America/New_York
timeZoneShortName,EST
uuid,ec367bc4-f92c-397c-ac81-bf7b43cffaf7
messageBoardId,finmb_27444752
gmtOffSetMilliseconds,-18000000
currentPrice,410.44
targetHighPrice,528.0
targetLowPrice,120.0
targetMeanPrice,288.0912
targetMedianPrice,274.985
recommendationMean,2.76596
recommendationKey,hold
numberOfAnalystOpinions,42
totalCash,33648001024
totalCashPerShare,10.482
ebitda,13244000256
totalDebt,12782999552
quickRatio,1.214
currentRatio,1.844
totalRevenue,97150001152
debtToEquity,18.078
revenuePerShare,30.457
returnOnAssets,0.04759
returnOnEquity,0.20389
freeCashflow,676625024
operatingCashflow,14478999552
earningsGrowth,0.17
revenueGrowth,0.078
grossMargins,0.18229
ebitdaMargins,0.13633001
operatingMargins,0.107889995
financialCurrency,USD
trailingPegRatio,4.9787
