,Value
enterpriseValue,3553896693760
profitMargins,0.55041003
floatShares,23541441000
sharesOutstanding,24490000384
sharesShort,246400791
sharesShortPriorMonth,251090067
sharesShortPreviousMonthDate,1727654400
dateShortInterest,1730332800
sharesPercentSharesOut,0.01
heldPercentInsiders,0.0429
heldPercentInstitutions,0.6617
shortRatio,1.01
shortPercentOfFloat,0.0105
impliedSharesOutstanding,25413099520
bookValue,1.744
priceToBook,82.8383
lastFiscalYearEnd,1706400000
nextFiscalYearEnd,1738022400
mostRecentQuarter,1722124800
earningsQuarterlyGrowth,1.682
netIncomeToCommon,53007998976
trailingEps,2.53
forwardEps,4.12
lastSplitFactor,10:1
lastSplitDate,1717977600
enterpriseToRevenue,36.902
enterpriseToEbitda,58.085
52WeekChange,1.7648172
SandP52WeekChange,0.24749029
lastDividendValue,0.01
lastDividendDate,1733356800
exchange,NMS
quoteType,EQUITY
symbol,NVDA
underlyingSymbol,NVDA
shortName,NVIDIA Corporation
longName,NVIDIA Corporation
firstTradeDateEpochUtc,917015400
timeZoneFullName,America/New_York
timeZoneShortName,EST
uuid,7f5f6a07-b148-30f4-98a2-2caa3df2aed0
messageBoardId,finmb_32307
gmtOffSetMilliseconds,-18000000
currentPrice,144.47
targetHighPrice,220.0
targetLowPrice,130.0
targetMeanPrice,172.80222
targetMedianPrice,175.0
recommendationMean,1.3125
recommendationKey,strong_buy
numberOfAnalystOpinions,54
totalCash,34800001024
totalCashPerShare,1.419
ebitda,61184000000
totalDebt,10014999552
quickRatio,3.503
currentRatio,4.269
totalRevenue,96307003392
debtToEquity,17.221
revenuePerShare,3.91
returnOnAssets,0.55258
returnOnEquity,1.23767
freeCashflow,33725874176
operatingCashflow,48663998464
earningsGrowth,1.68
revenueGrowth,1.224
grossMargins,0.75975996
ebitdaMargins,0.6353
operatingMargins,0.62057
financialCurrency,USD
trailingPegRatio,1.0354
