,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Payables,15919000000.0,14156000000.0,15911000000.0,15635000000.0,15032000000.0,
Total Tax Payable,1265000000.0,1100000000.0,1186000000.0,1204000000.0,1095000000.0,
Accounts Payable,14654000000.0,13056000000.0,14725000000.0,14431000000.0,13937000000.0,
Total Assets,119852000000.0,112832000000.0,109226000000.0,106618000000.0,93941000000.0,
Total Non Current Assets,63473000000.0,59855000000.0,58691000000.0,57002000000.0,48916000000.0,
Other Non Current Assets,4989000000.0,4458000000.0,4616000000.0,4531000000.0,5497000000.0,
Non Current Deferred Assets,6486000000.0,6692000000.0,6769000000.0,6733000000.0,,
Non Current Deferred Taxes Assets,6486000000.0,6692000000.0,6769000000.0,6733000000.0,,
Investments And Advances,184000000.0,184000000.0,184000000.0,,,
Other Investments,184000000.0,184000000.0,184000000.0,,,
Goodwill And Other Intangible Assets,411000000.0,413000000.0,421000000.0,615000000.0,625000000.0,
Other Intangible Assets,158000000.0,164000000.0,171000000.0,362000000.0,375000000.0,
Goodwill,253000000.0,249000000.0,250000000.0,253000000.0,250000000.0,
Net PPE,51403000000.0,48108000000.0,46701000000.0,45123000000.0,42794000000.0,
Accumulated Depreciation,-14694000000.0,-13648000000.0,-12852000000.0,-15080000000.0,-12520000000.0,
Gross PPE,66097000000.0,61756000000.0,59553000000.0,60203000000.0,55314000000.0,
Leases,3584000000.0,3398000000.0,3291000000.0,3168000000.0,2892000000.0,
Construction In Progress,8026000000.0,6776000000.0,5934000000.0,5804000000.0,6341000000.0,
Other Properties,17382000000.0,15749000000.0,15264000000.0,7327000000.0,11795000000.0,
Machinery Furniture Equipment,26425000000.0,25553000000.0,25212000000.0,27540000000.0,25702000000.0,
Land And Improvements,10680000000.0,10280000000.0,9852000000.0,9505000000.0,8584000000.0,
Properties,0.0,0.0,0.0,6859000000.0,0.0,
Current Assets,56379000000.0,52977000000.0,50535000000.0,49616000000.0,45026000000.0,
Other Current Assets,4888000000.0,4325000000.0,3752000000.0,3388000000.0,2708000000.0,
Inventory,14530000000.0,14195000000.0,16033000000.0,13626000000.0,13721000000.0,
Other Inventories,1234000000.0,1196000000.0,1195000000.0,1171000000.0,1108000000.0,
Finished Goods,5950000000.0,5254000000.0,6747000000.0,5049000000.0,4550000000.0,
Work In Process,1791000000.0,1977000000.0,2507000000.0,2016000000.0,2246000000.0,
Raw Materials,5555000000.0,5768000000.0,5584000000.0,5390000000.0,5817000000.0,
Receivables,3313000000.0,3737000000.0,3887000000.0,3508000000.0,2520000000.0,
Accounts Receivable,3313000000.0,3737000000.0,3887000000.0,3508000000.0,2520000000.0,
Cash Cash Equivalents And Short Term Investments,33648000000.0,30720000000.0,26863000000.0,29094000000.0,26077000000.0,
Other Short Term Investments,15537000000.0,16085000000.0,15058000000.0,12696000000.0,10145000000.0,
Cash And Cash Equivalents,18111000000.0,14635000000.0,11805000000.0,16398000000.0,15932000000.0,
Cash Equivalents,4327000000.0,408000000.0,418000000.0,495000000.0,1153000000.0,
Cash Financial,13784000000.0,14227000000.0,11387000000.0,15903000000.0,14779000000.0,
