,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Current Liabilities,33330000000.0,27004000000.0,28101000000.0,31960000000.0,30531000000.0,
Other Current Liabilities,5705000000.0,5762000000.0,4909000000.0,5506000000.0,4931000000.0,
Current Debt And Capital Lease Obligation,2016000000.0,1917000000.0,1676000000.0,1623000000.0,1460000000.0,
Current Capital Lease Obligation,2016000000.0,1917000000.0,1676000000.0,1623000000.0,1460000000.0,
Pensionand Other Post Retirement Benefit Plans Current,5458000000.0,4130000000.0,3333000000.0,6659000000.0,4968000000.0,
Payables And Accrued Expenses,20151000000.0,15195000000.0,18183000000.0,18172000000.0,19172000000.0,
Current Accrued Expenses,9792000000.0,9778000000.0,9535000000.0,8805000000.0,9422000000.0,
Payables,10359000000.0,5417000000.0,8648000000.0,9367000000.0,9750000000.0,
Dueto Related Parties Current,,,,863000000.0,770000000.0,772000000.0
Total Tax Payable,2703000000.0,2244000000.0,4863000000.0,3655000000.0,4608000000.0,
Accounts Payable,7656000000.0,3173000000.0,3785000000.0,4849000000.0,4372000000.0,
Total Assets,256408000000.0,230238000000.0,222844000000.0,229623000000.0,216274000000.0,
Total Non Current Assets,165341000000.0,153807000000.0,147514000000.0,144258000000.0,137896000000.0,
Other Non Current Assets,11642000000.0,9929000000.0,8179000000.0,6794000000.0,5468000000.0,
Investments And Advances,6071000000.0,6207000000.0,6218000000.0,6141000000.0,6142000000.0,
Investmentin Financial Assets,6071000000.0,6207000000.0,6218000000.0,6141000000.0,6142000000.0,
Available For Sale Securities,6071000000.0,6207000000.0,6218000000.0,6141000000.0,6142000000.0,
Goodwill And Other Intangible Assets,20654000000.0,20654000000.0,20654000000.0,21442000000.0,21481000000.0,
Other Intangible Assets,,,,788000000.0,813000000.0,856000000.0
Goodwill,20654000000.0,20654000000.0,20654000000.0,20654000000.0,20668000000.0,
Net PPE,126974000000.0,117017000000.0,112463000000.0,109881000000.0,104805000000.0,
Accumulated Depreciation,-40854000000.0,-38395000000.0,-35910000000.0,-33134000000.0,-30848000000.0,
Gross PPE,167828000000.0,155412000000.0,148373000000.0,143015000000.0,135653000000.0,
Leases,7246000000.0,7191000000.0,7079000000.0,6972000000.0,6841000000.0,
Construction In Progress,23301000000.0,21666000000.0,22975000000.0,24269000000.0,22945000000.0,
Other Properties,89775000000.0,81629000000.0,76922000000.0,71733000000.0,68545000000.0,
Buildings And Improvements,45392000000.0,42840000000.0,39322000000.0,37961000000.0,35422000000.0,
Land And Improvements,2114000000.0,2086000000.0,2075000000.0,2080000000.0,1900000000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,91067000000.0,76431000000.0,75330000000.0,85365000000.0,78378000000.0,
Other Current Assets,5467000000.0,3846000000.0,3780000000.0,3793000000.0,4311000000.0,
Receivables,14700000000.0,14505000000.0,13430000000.0,16169000000.0,12944000000.0,
Accounts Receivable,14700000000.0,14505000000.0,13430000000.0,16169000000.0,12944000000.0,
Cash Cash Equivalents And Short Term Investments,70900000000.0,58080000000.0,58120000000.0,65403000000.0,61123000000.0,
Other Short Term Investments,27048000000.0,26035000000.0,25813000000.0,23541000000.0,24233000000.0,
Cash And Cash Equivalents,43852000000.0,32045000000.0,32307000000.0,41862000000.0,36890000000.0,
Cash Equivalents,37323000000.0,25886000000.0,25812000000.0,35597000000.0,31557000000.0,
Cash Financial,6529000000.0,6159000000.0,6495000000.0,6265000000.0,5333000000.0,
